Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
303.0,Alec Burks,33.0,MIA,SG,36.0,4.0,17.7,2.0,4.9,0.407,1.5,3.6,0.419,0.5,1.3,0.375,0.559,0.9,1.1,0.756,0.4,2.3,2.7,1.1,0.6,0.2,0.4,0.7,6.4,,burksal01
304.0,Karlo Matković,23.0,NOP,PF,31.0,5.0,18.0,2.6,4.6,0.556,0.4,1.3,0.333,2.2,3.4,0.638,0.601,0.8,1.0,0.8,1.6,3.2,4.8,0.9,0.5,1.0,1.0,2.3,6.4,,matkoka01
305.0,Ajay Mitchell,22.0,OKC,SG,34.0,1.0,16.5,2.5,4.9,0.506,0.6,1.5,0.431,1.8,3.4,0.539,0.572,0.8,1.0,0.848,0.5,1.5,2.0,1.7,0.7,0.1,0.8,1.7,6.4,,mitchaj01
307.0,Simone Fontecchio,29.0,DET,SF,62.0,0.0,17.0,2.1,5.2,0.408,1.1,3.1,0.34,1.0,2.0,0.512,0.511,1.0,1.2,0.818,0.7,2.4,3.1,0.9,0.4,0.2,0.8,1.3,6.3,,fontesi01
308.0,Haywood Highsmith,28.0,MIA,SF,60.0,40.0,24.1,2.4,5.1,0.466,1.2,3.0,0.388,1.2,2.1,0.575,0.579,0.5,0.6,0.75,0.8,2.3,3.1,1.4,0.9,0.6,0.7,2.2,6.3,,highsha01
309.0,Jamal Shead,22.0,TOR,PG,63.0,4.0,18.2,2.4,5.9,0.415,0.9,2.6,0.335,1.6,3.3,0.478,0.489,0.5,0.7,0.75,0.3,1.0,1.3,3.8,0.6,0.1,1.5,2.0,6.3,,sheadja01
310.0,Ryan Dunn,22.0,PHO,SF,61.0,31.0,17.4,2.5,5.9,0.427,1.0,3.1,0.302,1.6,2.7,0.572,0.508,0.2,0.5,0.484,0.9,2.2,3.1,0.8,0.5,0.6,0.4,2.1,6.2,,dunnry01
311.0,Ron Holland,19.0,DET,SF,69.0,1.0,15.4,2.3,5.1,0.457,0.4,1.9,0.218,1.9,3.1,0.604,0.499,1.1,1.4,0.786,0.5,2.1,2.6,0.9,0.6,0.1,0.8,1.8,6.2,,hollaro01
312.0,Dru Smith,27.0,MIA,SG,14.0,1.0,19.1,2.2,4.4,0.508,1.1,2.1,0.533,1.1,2.2,0.484,0.639,0.6,0.9,0.75,0.9,1.7,2.6,1.6,1.5,0.4,1.2,2.1,6.2,,smithdr01
313.0,Jamison Battle,23.0,TOR,SF,46.0,4.0,14.7,2.2,5.0,0.437,1.5,3.7,0.407,0.7,1.2,0.526,0.59,0.3,0.3,0.857,0.6,1.6,2.2,0.8,0.1,0.2,0.3,1.3,6.1,,battlja01
314.0,Donovan Clingan,20.0,POR,C,55.0,25.0,18.2,2.5,4.6,0.545,0.1,0.6,0.258,2.4,4.1,0.585,0.561,0.9,1.4,0.595,3.0,4.4,7.4,1.0,0.5,1.6,1.2,2.7,6.1,,clingdo01
315.0,Seth Curry,34.0,CHO,SG,57.0,10.0,14.7,2.2,4.8,0.464,1.2,2.6,0.453,1.0,2.2,0.476,0.588,0.4,0.5,0.821,0.4,1.2,1.6,0.7,0.4,0.1,0.4,0.9,6.1,,curryse01
316.0,Trey Lyles,29.0,SAC,PF,55.0,2.0,18.2,2.1,5.2,0.409,1.1,3.3,0.342,1.0,1.9,0.529,0.519,0.7,1.0,0.679,1.1,3.4,4.5,1.1,0.6,0.4,0.6,1.2,6.1,,lylestr01
317.0,Gabe Vincent,28.0,LAL,PG,58.0,10.0,21.2,2.3,5.7,0.399,1.4,4.0,0.345,0.9,1.7,0.531,0.521,0.2,0.3,0.688,0.2,0.9,1.2,1.4,0.7,0.2,0.6,2.1,6.1,,vincega01
318.0,Orlando Robinson,24.0,2TM,C,34.0,4.0,15.9,2.2,5.2,0.432,0.2,0.9,0.258,2.0,4.3,0.469,0.455,1.3,1.6,0.796,1.8,2.6,4.4,1.6,0.4,0.4,1.0,1.9,6.0,,robinor01
318.0,Orlando Robinson,24.0,SAC,C,9.0,0.0,6.3,0.8,1.9,0.412,0.1,0.6,0.2,0.7,1.3,0.5,0.441,0.4,0.8,0.571,0.3,1.2,1.6,1.0,0.3,0.1,0.4,0.7,2.1,,robinor01
318.0,Orlando Robinson,24.0,TOR,C,25.0,4.0,19.3,2.8,6.4,0.434,0.3,1.0,0.269,2.5,5.3,0.466,0.456,1.6,1.9,0.83,2.3,3.2,5.5,1.9,0.4,0.5,1.2,2.3,7.4,,robinor01
