Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,-9999
142,Anthony Davis,31,DAL,PF,1,1,31,0,0,0,30,70,15.0,15.6,0,1,0,0,3,0,17,0,0,,davisan02
143,Andrew Nembhard,25,IND,SG,51,51,1468,12,87,1,0,0,5.1,7.1,44,32,52,10,45,13,607,8,27,,nembhan01
144,Mike Conley,37,MIN,PG,59,53,1467,100,0,0,0,0,4.9,1.0,44,13,49,1,26,23,636,2,16,,conlemi01
145,Georges Niang,31,2TM,PF,67,2,1464,0,0,5,91,4,5.6,-2.4,28,17,79,6,15,6,234,6,18,,niangge01
145,Georges Niang,31,CLE,PF,51,1,1053,0,0,6,93,1,8.2,-3.9,20,14,58,6,7,5,165,3,16,,niangge01
145,Georges Niang,31,ATL,PF,16,1,411,0,0,0,86,14,-0.9,1.4,8,3,21,0,8,1,69,3,2,,niangge01
146,Kris Dunn,30,LAC,PG,61,45,1460,99,1,0,0,0,5.1,3.9,36,15,85,6,7,6,450,2,11,,dunnkr01
147,Al Horford,38,BOS,C,53,37,1459,0,0,0,60,40,11.3,5.3,27,4,50,5,13,0,296,2,6,,horfoal01
148,Wendell Carter Jr.,25,ORL,C,56,39,1452,0,0,0,18,82,-1.3,1.2,21,23,85,20,71,9,280,14,26,,cartewe01
149,Jabari Smith Jr.,21,HOU,PF,47,39,1451,0,0,2,85,13,5.5,2.2,23,20,57,6,47,2,123,9,24,,smithja05
150,Haywood Highsmith,28,MIA,SF,60,40,1443,0,1,53,46,0,-0.1,2.8,16,13,59,4,14,7,202,4,13,,highsha01
151,De'Andre Hunter,27,2TM,SF,52,8,1435,0,0,44,56,0,2.0,0.8,24,29,58,6,86,14,178,16,35,,huntede01
151,De'Andre Hunter,27,ATL,SF,37,4,1064,0,0,51,49,0,-2.6,-0.7,22,26,40,3,63,11,137,15,28,,huntede01
151,De'Andre Hunter,27,CLE,SF,15,4,371,0,0,25,74,1,15.2,4.9,2,3,18,3,23,3,41,1,7,,huntede01
152,Dorian Finney-Smith,31,2TM,PF,50,34,1419,0,4,38,56,2,8.5,12.8,24,7,56,3,13,2,168,3,22,,finnedo01
152,Dorian Finney-Smith,31,BRK,PF,20,20,579,0,9,57,33,1,3.0,11.5,11,3,28,2,7,2,75,2,9,,finnedo01
152,Dorian Finney-Smith,31,LAL,PF,30,14,840,0,1,25,71,3,12.4,13.7,13,4,28,1,6,0,93,1,13,,finnedo01
153,LaMelo Ball,23,CHO,PG,44,44,1414,87,12,0,0,0,-5.1,5.8,82,35,45,18,90,9,768,17,41,,ballla01
154,Miles McBride,24,NYK,PG,57,6,1404,17,83,0,0,0,8.7,7.1,19,11,40,2,24,13,397,4,26,,mcbrimi01
155,Alex Sarr,19,WAS,C,52,52,1401,0,0,0,4,96,-13.7,-3.8,30,29,77,11,57,1,293,8,30,,sarral01
156,Ayo Dosunmu,25,CHI,SG,46,26,1394,10,56,30,4,0,-7.1,-7.4,41,17,52,2,34,3,509,10,34,,dosunay01
157,A.J. Green,25,MIL,SG,61,6,1368,19,81,1,0,0,2.6,1.4,15,8,81,6,6,16,228,2,3,,greenaj01
158,Scotty Pippen Jr.,24,MEM,PG,67,17,1367,81,19,0,0,0,4.1,-2.9,66,23,69,11,67,28,697,21,34,,pippesc02
159,D'Angelo Russell,28,2TM,PG,53,31,1360,100,0,0,0,0,0.0,2.0,61,22,50,11,57,10,656,11,14,,russeda01
159,D'Angelo Russell,28,LAL,PG,29,10,763,100,0,0,0,0,2.5,0.3,29,9,24,9,23,8,321,4,9,,russeda01
159,D'Angelo Russell,28,BRK,PG,24,21,597,99,1,0,0,0,-3.1,4.1,32,13,26,2,34,2,335,7,5,,russeda01
160,Donte DiVincenzo,28,MIN,SG,51,10,1358,69,31,0,0,0,5.9,2.6,53,20,44,3,19,16,456,2,20,,divindo01
161,Julian Strawther,22,DEN,SG,61,4,1351,0,41,58,1,0,-1.6,-10.2,22,17,84,12,33,6,199,7,19,,strawju01
162,Ziaire Williams,23,BRK,SF,54,36,1334,1,18,66,15,1,-8.3,-3.0,29,15,66,3,41,16,180,4,38,,willizi02
